Filters,Convolutional params,Convolutional time,Sequential params,Sequential time,Residual params,Residual time
231,480480.0,0.12680844020843507,961422.0,0.277925612449646,961422.0,0.2915145311355591
233,488834.0,0.1267395896911621,978134.0,0.27584034061431884,978134.0,0.2899428539276123
235,497260.0,0.11855456829071045,994990.0,0.25646994400024414,994990.0,0.2692979326248169
237,505758.0,0.12007367706298828,1011990.0,0.2594984941482544,1011990.0,0.27134884548187255
239,514328.0,0.119612154006958,1029134.0,0.2579893093109131,1029134.0,0.27409358978271486
241,522970.0,0.1316519250869751,1046422.0,0.2805236530303955,1046422.0,0.29796440982818606
243,531684.0,0.1288270444869995,1063854.0,0.2764535617828369,1063854.0,0.2877165222167969
245,540470.0,0.14023985481262208,1081430.0,0.2971075248718262,1081430.0,0.31254375743865964
247,549328.0,0.1218893117904663,1099150.0,0.2615626287460327,1099150.0,0.2768519401550293
249,558258.0,0.12371102619171143,1117014.0,0.2644802112579346,1117014.0,0.2786771478652954
251,567260.0,0.12275640106201172,1135022.0,0.26520988368988035,1135022.0,0.27998853397369383
253,576334.0,0.13267204093933105,1153174.0,0.2834021587371826,1153174.0,0.2997125635147095
255,585480.0,0.14213468265533447,1171470.0,0.30220559310913087,1171470.0,0.31748090267181395
